conversation_id,customer_message,apple_response,intent,resolution_status,n_turns,split
conv_2620,@AppleSupport watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,@116335 You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj,other_unclear,unresolved_no_signal,3,train
conv_2624,"It’s been a few days since @115858 made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",@116336 Hi there! iOS 11.1 was released earlier today containing some bug fixes. Let's back up and update: https://t.co/80YRnjDFDk,ios_software_update,unresolved_no_signal,3,train
conv_2628,Question- @249 @115858 my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,"@116337 We know how important your battery is &amp; we'll be happy to help. Which iOS version are you using? Also, when did this issue begin?",battery_power,unresolved_no_signal,3,classifier_eval
conv_2632,And why is my music NEVER in my control center?! @AppleSupport,@116338 We're here to help out! Which device is this on and which version of iOS is currently installed?,other_unclear,unresolved_no_signal,3,train
conv_2640,"@AppleSupport hi, I have a problem with my macbook pro, it won't turn on, I think it might be the charger but not sure. Is there a... @AppleSupport ...cost for sending in for diagnosing a problem if it's out of warranty?",@116340 We can help. Let’s start with the following steps to see if we can save you a trip in for service: https://t.co/RqWW0duJ0U,billing_repair_order,unresolved_no_signal,4,train
conv_2645,@115858 when will the bug in the calendar app be fixed? I upgraded to iOS 11.1 and it still crashes when iOS 11.03,@116342 We'd like to help. What is going on with the app?,ios_software_update,unresolved_no_signal,3,train
conv_2654,@AppleSupport newest version of iOS and iPhone 7,"@116345 Since we just released iOS 11.1 today, can you clarify which exact version you have installed?",other_unclear,unresolved_no_signal,3,golden_eval
conv_2666,I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,@116348 We'd like to look into this with you. Does the song appear to be greyed out?,other_unclear,unresolved_no_signal,3,train
conv_2676,@AppleSupport HELP ME. I have a problem with my iPhone 7😑,@116349 We're happy to help. What seems to be the problem?,other_unclear,escalated_to_dm,8,train
conv_2682,@AppleSupport ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,"@116351 We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings &gt; Sounds?",ios_software_update,customer_thanked,3,train
conv_3764,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus @AppleSupport,@116621 Let's look at this together. Are you updated to iOS 11.1?,screen_hardware_damage,unresolved_no_signal,3,train
conv_3770,@AppleSupport this is my top bar every time I open messages on my SE after updating to iOS 11.1 https://t.co/Lzge3qzc7w,@116623 Thank you for reaching out to us. Have you tried to restart the device? Let us know to get started.,ios_software_update,customer_thanked,3,classifier_eval
conv_3777,"@AppleSupport I've also forced the app to close from the background and reopened, no dice 🎲",@116625 Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,app_appstore_media,unresolved_no_signal,3,train
conv_4871,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤 @115858 @AppleSupport @318,@116853 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,other_unclear,unresolved_no_signal,3,train
conv_4875,Come on @AppleSupport #ios11.1  Same bug as before. Numbers disappear when entering info. Video below. #iosproblems https://t.co/eKirAn2Mam,@116854 Let's investigate this together. Does this only occur when using specific apps or website?,ios_software_update,unresolved_no_signal,3,train
conv_4879,@AppleSupport I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. https://t.co/x7uUxSqO9u,@116855 We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. https://t.co/GDrqU22YpT,connectivity,customer_thanked,3,train
conv_4882,@AppleSupport tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,@116856 We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings &gt; General &gt; About.,autocorrect_text_bug,unresolved_no_signal,5,train
conv_4890,"@AppleSupport whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help? https://t.co/8tQy27WvMe",@116857 We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?,other_unclear,unresolved_no_signal,3,train
conv_4896,@AppleSupport please make this stop!!! https://t.co/YoyrO8iZKe,"@116859 Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",other_unclear,unresolved_no_signal,4,train
conv_4901,Please fix the battery issues in Ios 11! @AppleSupport @115858,@116860 We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?,battery_power,unresolved_no_signal,3,train
conv_4906,@AppleSupport The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown. https://t.co/81ifcrDUeS,@116855 We'd like to have you backup and update your iPhone to iOS 11.1 and let us know if that helps: https://t.co/ahjigcvFRG,connectivity,unresolved_no_signal,3,train
conv_4912,Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf @AppleSupport ?,"@116863 We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed?",battery_power,unresolved_no_signal,3,train
conv_5812,@AppleSupport just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,@117097 Got it. Have you updated your Apple Watch to 4.1 yet?,ios_software_update,unresolved_no_signal,3,train
conv_5816,I️ &lt;— wtf is going on @AppleSupport,@117098 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,autocorrect_text_bug,escalated_to_dm,3,train
conv_5819,@AppleSupport I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,@117099 We'd be happy to help. Check out this link to for more information: https://t.co/hSnkM7JIIS,screen_hardware_damage,customer_thanked,3,classifier_eval
conv_5829,"Heyyy @115858 still waiting on a version of iOS 11 that isn’t complete shit

— Everyone with any iPhone that isn’t the brand new one","@117103 Thanks for reaching out. If you're having issues, we'd like to assist. DM us and we'll continue there. https://t.co/GDrqU22YpT",ios_software_update,escalated_to_dm,3,train
conv_5833,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication @AppleSupport ?????",@117104 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,ios_software_update,unresolved_no_signal,3,classifier_eval
conv_5839,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️ @115858 @AppleSupport,@117106 We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?,ios_software_update,unresolved_no_signal,5,classifier_eval
conv_5845,@AppleSupport Updated iPad Pro to 11.1.  Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,@117107 We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?,ios_software_update,unresolved_no_signal,3,train
conv_6919,"@AppleSupport I installed the iOS 10.0 , 10.0.1 and 10.0.2 and makes my iPhone 6 very slow and doesn’t work properly can you help me?","@117183 We can help!  We assume you mean iOS 11, right?  Can you tell us what types of performance issues you're experiencing?",ios_software_update,unresolved_no_signal,3,train
conv_8302,Every time I watch a live broadcast or video it skips or repeats a few seconds since updating @AppleSupport https://t.co/ufl7yqidmb,"@117456 We'd like to learn more about what's happening. What model &amp; iOS version are you working with? Tell us in DM, please. https://t.co/GDrqU2kzhr",ios_software_update,customer_thanked,3,train
conv_8310,@AppleSupport Its slowing down my mac a lot,"@117459  Is 25 GBs what you have left after the snapshots were created on the drive though? Or, were you low on space prior to snapshots?",other_unclear,unresolved_no_signal,3,classifier_eval
conv_8313,@AppleSupport i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,@117459 Thanks for reaching out to us. We're happy to help out. We recommend checking out this link: https://t.co/03O2CionXW,other_unclear,unresolved_no_signal,3,train
conv_8321,I️ can’t believe that @115858 &amp; @AppleSupport has not fixed the vowel text issue. It’s very annoying and takes extra time to write something👎 @115858 @AppleSupport iOS 11.1 should never been released. So many bugs. The statusbar randomly disappears in Facebook app,@117460 We'd like to look into the trouble you're having. Does this only occur in the Facebook app?,autocorrect_text_bug,customer_thanked,7,train
conv_8422,"Dear @115858, I have an online order which I never received - who can I talk to?",@117481 We want to help out. Look here to talk with our Online Support:  https://t.co/8yjRd1Xo0i,billing_repair_order,unresolved_no_signal,5,train
conv_8437,@115858 suck! Upgrade phone &amp; I lose my Apple ID. Can’t get new id without old &amp; can’t book Genius bar help appointment without ID!!! #stupid,"@117484 We're happy you reached out so we can find you the info you need. If you forgot your Apple ID, go to the Apple ID account page: https://t.co/ggVDoc1mU7 From here, click ""Forgot Apple ID or password?"" then click ""look it up."" From here, follow the on screen prompts.",account_security_icloud,unresolved_no_signal,3,train
conv_8545,what the fuck @115858? https://t.co/oHhvAW2pqh,"@117501 We're here for you. Let's work together to locate your photos. Did you just recently restore your device, by any chance?",other_unclear,unresolved_no_signal,3,train
conv_8553,@AppleSupport ya.. i did that way like 3-4times for make my screen finally worked out. whats the causes anw?  what tips to prevent it wont happen again?,"@117503 We wouldn't want to speculate into the cause, but please send us a DM so we can look into this further with you. https://t.co/GDrqU22YpT",screen_hardware_damage,escalated_to_dm,3,train
conv_8557,"@AppleSupport is that safe if we disable passcode for unlock iphone? i mean,is the fingerprint still worked out? i think dat would be enough",@117503 We want to make sure we understand the issue. Are you wanting to disable the passcode and still use Touch ID?,other_unclear,unresolved_no_signal,5,train
conv_8561,@AppleSupport  hey what’s going on with the letter I . When i start to. Type this happens below https://t.co/jbNZfUwkzL,"@117504 Let's look at this together. To begin, are you completely updated to iOS 11.1?",autocorrect_text_bug,escalated_to_dm,6,train
conv_8568,@115858 wtf y’all got going on with my emojis 😐 I’m seeing boxes and shit,@117506 Hey there. 70 new Emoji have been released with iOS 11.1. Update to that and let us know how it goes.,other_unclear,unresolved_no_signal,3,train
conv_8574,@AppleSupport this is the second Fishing email that I have gotten in 2 days https://t.co/WG3DvyKLSj,@117508 We are here to help. Please refer to the following article for steps to report these emails: https://t.co/yGvlh3cZ5Y,other_unclear,customer_thanked,3,train
conv_9152,"Hey @AppleSupport, what’s up with this new autocorrect? Happening on iPhone 7 Plus and iPhone 7. https://t.co/pHA05gv7g7",@117639 Let's take a look at this issue together. Which iOS version is your device currently running?,autocorrect_text_bug,escalated_to_dm,5,train
conv_9160,I got my phone yesterday and it’s already not charging thanks @115858 🙃,@117641 We want to make sure you can charge and enjoy your new phone. Is it not showing as connected to power when plugged in?,battery_power,unresolved_no_signal,3,classifier_eval
conv_9170,11.1にあげたらTwitter少し見てるだけだし低電力モードなのに20パーへったぞ。デバイス本体ごと取り換えて数ヶ月だし今回のアプデはミスだな。バッテリー消費悪化してる。 @AppleSupport,@117645 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,other_unclear,unresolved_no_signal,3,classifier_eval
conv_9174,"Bienvenida sea la multi tarea al 3D touch en iphone, gracias @AppleSupport  #newupdate",@117646 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,ios_software_update,customer_thanked,3,classifier_eval
conv_9184,@AppleSupport I️ have 11.0.3,"@117650 The first step we want to take is to back it up, then update it to iOS 11.1 to rule that out: https://t.co/80YRnjDFDk",autocorrect_text_bug,unresolved_no_signal,3,classifier_eval
conv_9187,@AppleSupport hey apple ! What is going on with the iPhones ?? Every time I️ type the letter “I️” I️ get a symbol. Which you see right now!,@117650 Let's team up and get the exclamation point working right. Which model do you have? Is iOS 11.1 installed?,autocorrect_text_bug,unresolved_no_signal,3,classifier_eval
conv_9190,Hey @115858 just wondering why this new update has had my phone going bananas all day so far?? Please enlighten me.,@117651 You've come to the right place. What seems to be going on with your phone?,ios_software_update,unresolved_no_signal,3,classifier_eval
conv_9198,@AppleSupport Does the person you send it too also have to have a iPhone to see this?I see it on my phone.,@117654 Great question. They must have a device with iOS 10 or later. Here's some more information: https://t.co/GCtGkHihKu,other_unclear,unresolved_no_signal,3,train
conv_9831,@applesupport please help us lmao https://t.co/EngGZoVACe,@117806 Your keyboard is important and we'd like to help get it working right. When did this start and which device model is it?,other_unclear,unresolved_no_signal,3,train
conv_9835,Dear @AppleSupport why is my letter I️ not working by itself in email or text? When I️ type the letter “I️” the attached happens. https://t.co/2qZ7Tjx5cF,@117807 We're here to help. Which version of iOS do you have installed on your device? You'd see this in Settings &gt; General &gt; About.,autocorrect_text_bug,unresolved_no_signal,3,train
conv_9843,FOCO AQUI @AppleSupport Q Q TÁ ACONTECENDO ~ iOS 11 guloso https://t.co/Eonz2w9xPi,"@117810 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",ios_software_update,customer_thanked,5,train
conv_9848,@AppleSupport hey my i on my keyboard isn't working and i just updated my phone to the latest IOS,@117811 Thank you for reaching out. May we ask which apps you're seeing the keyboard issue with?,ios_software_update,unresolved_no_signal,3,train
conv_10671,"@AppleSupport So, since updating the latest iOS, Pages no longer lets me open any docs, all show,  just don’t open. Suggestions? Anyone?","@117959 Can you confirm what version of iOS you updated to? Also, have you tried restarting your device?",ios_software_update,unresolved_no_signal,3,train
conv_10677,"@applesupport just updated Apple Watch to 4.1. Is ESPN radio etc only available in USA, can’t get it on my watch in the UK",@117961 We want to help you. That station may not be available. Availability of live stations varies depending on your location.,ios_software_update,customer_thanked,3,classifier_eval
conv_10687,@115858 why everytime I️ type an “I️” this extra A and box pops up ??,"@117965 Let's work on a solution together. To start, which device model and exact iOS version are you using?",autocorrect_text_bug,customer_thanked,3,classifier_eval
conv_10694,@AppleSupport why do I not have my October challenge ring after competition? 😡😡,"@117968 If you complete an achievement, but don't earn the award, you will earn the award within 9 days of completing the challenge.",other_unclear,unresolved_no_signal,3,train
conv_11100,"@AppleSupport It’s only done it with Apple Music and Apple Podcast, regardless if saved to phone or streaming",@118095 We want to help further! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,app_appstore_media,unresolved_no_signal,3,train
conv_11101,"@115858  @AppleSupport music and podcast “skip” around like a CD, then distorts and clears up in few seconds, only happens after iOS 11","@118095 We're here to help. Did this happen after a specific update, or just recently? Thanks!",ios_software_update,unresolved_no_signal,4,classifier_eval
conv_11111,My phone been fucking up all week @115858! https://t.co/VHrjDRAQPk,@118097 We'd like to help. What's going on?,other_unclear,unresolved_no_signal,5,train
conv_11122,@AppleSupport @118101 would love to know why my pictures look like this when I take a picture 😡 https://t.co/yVpQKCBzFu,@118100 We would love to help you with this! Is this the front or rear facing camera? Which device and iOS version?,other_unclear,unresolved_no_signal,3,train
conv_11126,"@115858, your new iOS 11.1 not resolve the calendar problem. 😡#iOS11 #iosfail",@118102 We want you to be able to rely on your calendar. What exactly is going on with it?,ios_software_update,unresolved_no_signal,3,train
conv_11134,@AppleSupport My Touch ID failed when I restarted my phone. Now it’s not working at all,"@118105 Did you receive an error message, or were you just prompted to enter in the passcode for your iOS device after the restart?",screen_hardware_damage,unresolved_no_signal,5,train
conv_11144,"love how my computer charger just stopped working for literally no reason at all. thanks @115858 you’ve really done it for me this time, sweetie",@118108 We'd like to investigate with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,battery_power,escalated_to_dm,3,train
conv_11633,Since I updated my iPhone I can’t download apps now. Thanks @AppleSupport @115858  🙄🙄🙄,@118243 Are you on the latest iOS 11.1 version?,ios_software_update,unresolved_no_signal,3,train
conv_11645,How do I get rid of this notification? @4305 @19762 @115858 @AppleSupport https://t.co/MF02cJYU5A,@118244 Let's see how we can help. Is that the message you see when trying to swipe the notification and get to the app?,other_unclear,escalated_to_dm,9,train
conv_11659,Fix my shit @AppleSupport,"@118249 We're always ready to help, but we'll need more details to start. Reply by DM with which model is it and what's happening with it. https://t.co/GDrqU22YpT",other_unclear,escalated_to_dm,3,train
conv_11666,"Tried to update my phone to the new IOS system, and my phone died while 'charging' &amp; now I lost everything. Thanks @115858.",@118252 We'd like to work with you and look into this together. Do you have a previous backup to your iPhone on either iTunes or iCloud?,battery_power,unresolved_no_signal,3,train
conv_11992,@115858 @AppleSupport your latest iOS update had made my phone slower and apps like iMessage are slow to open and load.  What’s up with this?,@118358 Hi. We are here to help. What is the specific iOS version that you have?,ios_software_update,unresolved_no_signal,3,train
conv_12000,what’s up with the letter “i” man? pls fix. i’m annoyed. @115858 @AppleSupport,@118360 You've come to the right place. May we ask when you started to notice the situation?,other_unclear,unresolved_no_signal,5,train
conv_12010,@115858 so IOS 11 reduced avg battery life from 240 minutes to 96?? Seriously I would rather have my batter explode and get a new one...,@118362 We'd like to work with you. May we ask what type of iOS device you have? Let us know to get started.,battery_power,escalated_to_dm,7,train
conv_12013,Excuse me @115858 @AppleSupport:  when y’all gonna address the fact that some glitch is turning Is into hieroglyphics?!,@118363 We want your predictions to be accurate. Please DM us with the current version of iOS you have. https://t.co/GDrqU22YpT,other_unclear,escalated_to_dm,6,train
conv_12023,@115858 why does my uppercase letter “I️” look so weird. Fix it please,"@118366 We can help! What keyboards do you have added? Is this issue only occurring in messages, or in other applications as well?",autocorrect_text_bug,unresolved_no_signal,3,train
conv_12569,@115858 what’s up with my “I️” being replaced with some bs in my messages? Makes me want to throw the whole phone away.,@118508 Let us help you get this sorted out. Can you tell us which iOS version you are currently using please?,autocorrect_text_bug,unresolved_no_signal,3,train
conv_12577,"Please, @115858, fix the keyboard bug that changes letter “I️” to other characters",@118510 We'd love to help! Which version of iOS are you using? Which keyboards do you have installed?,autocorrect_text_bug,unresolved_no_signal,3,train
conv_12581,@AppleSupport why does I️ keep showing up as symbols?,@118511 We'd like to see what we can do to assist. What iOS version are you running?,autocorrect_text_bug,unresolved_no_signal,3,classifier_eval
conv_12594,@115858 what in the world is this: A ? When I️ type I...you messing with my money 🙄😒 can’t send any emails from my phone! @115858 @115858 you see?!!!!! I️ &lt;—- that’s a bug...please fix 😒,@118515 Thanks for contacting. We understand wanting your device to work correctly. Could you please tell us which iOS version you're on?,autocorrect_text_bug,unresolved_no_signal,4,train
conv_12599,@115858 @AppleSupport APPLE WHY IS MY “I️’s” coming out as question marked boxes &amp; pounds ?! Fix it jeezus,@118517 Hi. We are here to help. What version of iOS do you have?,autocorrect_text_bug,unresolved_no_signal,3,train
conv_12605,What’s with the I️ I️ I️ I️ I️ I️? @AppleSupport I️ just want to write an I️ (eye),@118519 Can you confirm what iOS version you are running?,autocorrect_text_bug,customer_thanked,3,train
conv_12608,Eye can’t type the letter eye without it changing to a?  @AppleSupport ... yes I️ reset the keyboard https://t.co/tfr6EIPPPX,@118520 We'd love to help! Which version of iOS are you currently updated to? What Keyboards do you have installed?,autocorrect_text_bug,unresolved_no_signal,3,train
conv_12612,@115858 @AppleSupport sooooooo any plans to fix all these bugs from the software updates for the iPhone 7??,@118521 We're here to help. What iOS version are you on?,ios_software_update,customer_thanked,3,train
conv_13197,Écran d’iPhone cassé. Impossible à connecter sur iTunes ... des astuces svp ? @AppleSupport,@118713 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,app_appstore_media,escalated_to_dm,6,classifier_eval
conv_13208,Annnnnnd @115858 releases the best update yet!!!!! 70 new emojis!?! Fuck yes. But fix my iMessage first. Kthanks.,@118716 We're glad you're excited about the emojis! Let us help with iMessage. What's going on?,ios_software_update,unresolved_no_signal,3,train
conv_13218,"@118721 @AppleSupport my iPhone is not syncing and stuck on 'Copying diagnostic information'? 6s, latest version iOS and iTunes. @118720 @118721 @AppleSupport Been having same issue",@118719 We want to help. DM us details on the iOS version you have and which iTunes version. We'll work with you there. https://t.co/GDrqU2kzhr,app_appstore_media,customer_thanked,4,classifier_eval
conv_13580,@115858 @AppleSupport buggie spotted https://t.co/uiuCiaj3Pl,"@118833 Let's work this out! Have you been able to update to iOS 11.1? If not, use the steps here: https://t.co/80YRnjDFDk",other_unclear,unresolved_no_signal,3,train
conv_13584,"@AppleSupport  Dear team, after update my iPhone 6 Plus its hang in the Apple logo screen.","@118834 Don't worry, we've got you covered!  Check out the steps listed here: https://t.co/H7w57rsYVQ",screen_hardware_damage,customer_thanked,3,classifier_eval
conv_13938,it’s been doing this for two days... cmon @AppleSupport https://t.co/SVOOZiTXli,"@118929 We're anxious for you to have access to your downloads. Have you had a chance to restart the iPhone? If not, let's do that now.",other_unclear,customer_thanked,4,train
conv_13942,@AppleSupport super frustrating trying to send a pano but sending photo works just fine?? Am I doing something wrong? #iOS11 👎 https://t.co/WGgmrsf9jD,@118930 You've come to the right place. We're eager to help. Is this happening with SMS (non-iPhone) contacts as well?,ios_software_update,unresolved_no_signal,3,train
conv_13949,@AppleSupport I have updated my WatchOS but cannot stream the radio on LTE  (@115911) . Wi Fi (both tethered and direct from watch) works,@118932 You're in the right place for help. Let us know in a DM if the issue started randomly or since you first setup the Watch. https://t.co/GDrqU22YpT,ios_software_update,customer_thanked,3,train
conv_14308,@AppleSupport MMS bug on iOS 11.1. MMS won’t send on iPhone 6S.,@119044 We'd like to look into what's going on with your MMS. What happens when you try to send? Do you get an error?,ios_software_update,unresolved_no_signal,3,train
conv_14319,"@AppleSupport My Calendar app doesn’t work at all after iOS 11.1, can’t see other months and it just shuts down, I have an IPhone SE",@119048 We want to help you. Are there any troubleshooting steps you tried on your own? We want to make sure we don't repeat any steps.,ios_software_update,unresolved_no_signal,3,train
conv_14337,So over @115858 &amp; their awful customer service. Locked out of iCloud for 2 weeks &amp; promised password recovery instructions that never came🖕🏽,"@119056 The best way to verify your account &amp; assist with the Apple ID, is to get support at this link: https://t.co/UJm15vmMM2",account_security_icloud,unresolved_no_signal,3,train
conv_14841,"@AppleSupport So, that got me back in, but now Mail won’t work.","@119210 What happens when you try to open or use the Mail app? Let us know more in DM, please. https://t.co/GDrqU22YpT",other_unclear,escalated_to_dm,3,classifier_eval
conv_14838,@AppleSupport iOS 11 is draining the battery on my iPhone 7 twice as fast as iOS 10. Help!,@119210 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT,battery_power,customer_thanked,5,train
conv_14862,@AppleSupport my phone was acting up. I then restarted it and now all it does is stay on the apple logo when I turn it on. Wtf,@119216 We’ve got your back. Let us know if the steps in this article help with your iPhone: https://t.co/8MvHMFZ83h,other_unclear,unresolved_no_signal,3,train
conv_15470,.@115858 how about fixing your #podcast app with the next #ios update? It’s gone from bad to worse and I can’t listen to my beloved #arsecast #replyall and #wtf @28706 @11164 @23146,@119412 We'd like to dig into what's happening with the Podcasts app on your device. What type of iOS device are you using and which version of iOS is currently installed? Let us know those details via DM. We'll continue with you there. https://t.co/GDrqU22YpT,ios_software_update,escalated_to_dm,3,train
conv_15495,Lol the I️ on the new iOS is embarrassing @115858 get your shit together haahaha,"@119420 We've got a fix for the ""I"" on your iPhone. Which version of iOS are you using? You can check that at Settings &gt; General &gt; About. If it's not 11.1.1 or higher, backup with these steps: https://t.co/4f8hwT5to6 Then update. Let us know in DM if that doesn't help. https://t.co/GDrqU22YpT",autocorrect_text_bug,customer_thanked,3,train
conv_15712,"Hey @AppleSupport, what is going on with the “I️” key in iOS 11.1. When you press it, it defaults to a weird character and skips spaces. https://t.co/36PUW31SdN",@119456 Let's look into this for you. Send us a DM and we can check on available options. https://t.co/GDrqU22YpT,autocorrect_text_bug,escalated_to_dm,4,train
conv_15722,"6 years later I still can’t access Contacts on iCloud, what do we need to do to finally get this fixed, @AppleSupport? //cc @119462 https://t.co/EP9KWcig3M","@119461 You should be able to access your iCloud contacts on the web. DM us, and we'll see what we can do. https://t.co/GDrqU22YpT",account_security_icloud,escalated_to_dm,3,train
